,n_dias,ret_anualizado,vol_anualizada,sharpe,sortino,mdd,var_95pct,ret_total
GLOBAL 2021–2025,1253.0000,0.1187,0.1574,0.7124,1.0138,-0.2465,-0.0154,0.7464
Régimen Low (VIX <20),804.0000,0.4393,0.1072,3.3974,5.6622,-0.0766,-0.0104,2.1961
Régimen Moderate (VIX 20-30),382.0000,-0.1358,0.1862,-0.7838,-1.0813,-0.2996,-0.0192,-0.1984
Régimen Stress (VIX >30),67.0000,,,-4.2739,-5.2524,-0.3533,-0.0344,-0.3183
2021,251.0000,,,1.8242,2.6767,-0.0490,-0.0122,0.2418
2022,251.0000,,,-0.9523,-1.2928,-0.2465,-0.0246,-0.1909
2023,250.0000,,,1.6952,2.6073,-0.0992,-0.0130,0.2256
2024,252.0000,0.2182,0.1189,1.6596,2.3772,-0.0780,-0.0126,0.2182
2025,249.0000,,,0.8812,1.2814,-0.1772,-0.0155,0.1642
Rusia-Ucrania (feb-dic 2022),215.0000,,,-0.5759,-0.7931,-0.2181,-0.0261,-0.1070
Crisis bancaria (mar-may 2023),59.0000,,,1.2542,1.9385,-0.0410,-0.0139,0.0383
