date,baseline,augmented,static,90_10
2021-01-12,0.993332,0.997460,1.017073,1.008815
2021-01-20,1.007530,1.011442,1.024418,1.009073
2021-01-27,1.007846,1.017818,1.029248,1.021640
2021-02-03,1.041405,1.049583,1.029059,1.015611
2021-02-10,1.047797,1.090284,1.052596,1.035592
2021-02-18,1.048243,1.121819,1.060527,1.039616
2021-02-25,1.036535,1.080041,1.062576,1.037585
2021-03-04,1.021089,1.073510,1.034361,1.011371
2021-03-11,1.034409,1.083774,1.049342,1.029988
2021-03-18,1.001115,0.973493,1.059963,1.047249
2021-03-25,0.989702,0.976806,1.030492,1.027137
2021-04-01,1.009541,0.969451,1.032874,1.046219
2021-04-09,1.015088,0.973721,1.052022,1.076875
2021-04-16,1.023097,0.971767,1.072248,1.095003
2021-04-23,1.022150,1.012713,1.064192,1.086561
2021-04-30,1.028594,1.012435,1.082148,1.104246
2021-05-07,1.000921,1.002699,1.085231,1.102416
2021-05-14,1.019218,1.001452,1.068765,1.080602
2021-05-21,1.033891,1.042266,1.078467,1.091998
2021-05-28,1.034571,1.083081,1.101886,1.102205
2021-06-07,1.047276,1.092709,1.119023,1.109523
2021-06-14,1.037571,1.065543,1.123235,1.114431
2021-06-21,1.042250,1.073933,1.101730,1.094967
2021-06-28,1.046885,1.075356,1.124482,1.121799
2021-07-06,1.060481,1.079234,1.129240,1.139748
2021-07-13,1.054817,1.075965,1.127451,1.147987
2021-07-20,1.054503,1.077418,1.092206,1.119110
2021-07-27,1.055853,1.103335,1.118118,1.157675
2021-08-03,1.060691,1.113005,1.119742,1.150164
2021-08-10,1.064407,1.117700,1.100769,1.159845
2021-08-17,1.059841,1.109778,1.110173,1.171796
2021-08-24,1.079780,1.126607,1.100504,1.171803
2021-08-31,1.086834,1.132692,1.121739,1.183464
2021-09-08,1.080190,1.122414,1.125887,1.180719
2021-09-15,1.048459,1.099073,1.125553,1.162995
2021-09-22,1.068695,1.120208,1.110035,1.141376
2021-09-29,1.060849,1.153660,1.114917,1.139284
2021-10-06,1.075829,1.157754,1.130595,1.137822
2021-10-13,1.092438,1.183424,1.134048,1.138634
2021-10-20,1.104717,1.201500,1.160040,1.178578
2021-10-27,1.109421,1.201341,1.169470,1.191980
2021-11-03,1.121143,1.209802,1.165308,1.205919
2021-11-10,1.117864,1.206432,1.177418,1.219774
2021-11-17,1.106922,1.194115,1.169297,1.222122
2021-11-24,1.091348,1.177588,1.155264,1.219242
2021-12-02,1.109521,1.195204,1.091022,1.178744
2021-12-09,1.104971,1.179682,1.137283,1.223025
2021-12-16,1.100907,1.182927,1.128288,1.225557
2021-12-23,1.114355,1.206301,1.135965,1.222496
2021-12-31,1.105501,1.213966,1.157524,1.241823
2022-01-07,1.137983,1.285046,1.154837,1.220314
2022-01-14,1.132695,1.294890,1.170272,1.211654
2022-01-24,1.084321,1.262751,1.161387,1.148698
2022-01-31,1.120285,1.302463,1.155300,1.156554
2022-02-07,1.132808,1.295106,1.180734,1.171949
2022-02-14,1.122076,1.299358,1.185109,1.152277
2022-02-22,1.101433,1.308650,1.179272,1.135626
2022-03-01,1.118560,1.580323,1.185205,1.142391
2022-03-08,1.076771,1.507718,1.233432,1.101396
2022-03-15,1.147342,1.547149,1.176641,1.091861
2022-03-22,1.185167,1.673591,1.239381,1.159615
2022-03-29,1.189388,1.642730,1.218059,1.185892
2022-04-05,1.179692,1.637278,1.239387,1.187918
2022-04-12,1.155839,1.776461,1.193043,1.144687
2022-04-20,1.138575,1.737427,1.213982,1.155588
2022-04-27,1.127579,1.824240,1.179503,1.088191
2022-05-04,1.072176,1.782114,1.181730,1.086635
2022-05-11,1.102790,1.808118,1.144270,1.044957
2022-05-18,1.104814,1.783316,1.190152,1.066063
2022-05-25,1.101606,1.859462,1.194445,1.032304
2022-06-02,1.104742,1.958885,1.222095,1.069433
2022-06-09,1.080844,1.924293,1.256603,1.072249
2022-06-16,1.077126,1.918434,1.194340,0.992244
2022-06-24,1.096171,1.967534,1.150372,0.995302
2022-07-01,1.062982,1.815729,1.158929,0.993489
2022-07-11,1.049206,1.727967,1.147798,1.020251
2022-07-18,1.087155,1.810228,1.113526,1.012638
2022-07-25,1.110394,1.849555,1.132954,1.037478
2022-08-01,1.134347,1.843566,1.170145,1.078695
