,n_dias,ret_anualizado,vol_anualizada,sharpe,sortino,mdd,var_95pct,ret_total
GLOBAL 2021–2025,1253.0000,0.1044,0.1367,0.7260,1.0288,-0.1961,-0.0136,0.6382
Régimen Low (VIX <20),804.0000,0.2681,0.1078,2.2026,3.3975,-0.0610,-0.0105,1.1334
Régimen Moderate (VIX 20-30),382.0000,-0.0273,0.1555,-0.1777,-0.2464,-0.1629,-0.0161,-0.0410
Régimen Stress (VIX >30),67.0000,,,-3.2170,-3.9961,-0.2741,-0.0323,-0.1993
2021,251.0000,,,1.2544,1.7216,-0.0734,-0.0115,0.1575
2022,251.0000,,,-0.2625,-0.3635,-0.1961,-0.0195,-0.0481
2023,250.0000,,,0.6984,1.0215,-0.0795,-0.0115,0.0886
2024,252.0000,0.1247,0.1097,1.0715,1.5445,-0.0614,-0.0116,0.1247
2025,249.0000,,,1.5020,2.2018,-0.1133,-0.0100,0.2143
Rusia-Ucrania (feb-dic 2022),215.0000,,,-0.3883,-0.5342,-0.1961,-0.0198,-0.0641
Crisis bancaria (mar-may 2023),59.0000,,,-0.6071,-0.8152,-0.0565,-0.0126,-0.0188
