,n_decisiones,ret_anualizado,vol_anualizada,sharpe,sortino,mdd,var_95pct,ret_total
GLOBAL 2021–2025,250.0000,0.2143,0.1930,1.0064,1.6605,-0.1728,-0.0393,1.6201
Régimen Low (VIX <20),161.0000,0.1983,0.1332,1.3579,2.4175,-0.0852,-0.0221,0.7821
Régimen Moderate (VIX 20-30),76.0000,0.1406,0.2329,0.5646,0.7798,-0.1322,-0.0523,0.2193
Régimen Stress (VIX >30),13.0000,,,1.7442,4.3811,-0.0818,-0.0554,0.2057
2021,50.0000,0.2159,0.1624,1.2036,1.5973,-0.1358,-0.0233,0.2140
2022,50.0000,0.4163,0.3128,1.1127,2.0209,-0.1728,-0.0612,0.4124
2023,50.0000,0.1530,0.1599,0.8906,1.6432,-0.0930,-0.0292,0.1517
2024,50.0000,0.0138,0.1235,0.1112,0.1424,-0.0617,-0.0373,0.0137
2025,50.0000,0.3117,0.1408,1.9266,3.2577,-0.0920,-0.0221,0.3089
Rusia-Ucrania (feb-dic 2022),43.0000,,,0.9603,1.7248,-0.1728,-0.0664,0.3102
Crisis bancaria (mar-may 2023),11.0000,,,1.8307,4.2273,-0.0721,-0.0275,0.0862
