,n_decisiones,ret_anualizado,vol_anualizada,sharpe,sortino,mdd,var_95pct,ret_total
GLOBAL 2021–2025,250.0000,0.1279,0.1324,0.9092,1.3334,-0.1473,-0.0289,0.8167
Régimen Low (VIX <20),161.0000,0.1460,0.0937,1.4544,2.3714,-0.1019,-0.0206,0.5455
Régimen Moderate (VIX 20-30),76.0000,0.0686,0.1784,0.3721,0.4985,-0.1326,-0.0367,0.1053
Régimen Stress (VIX >30),13.0000,,,1.1714,2.1711,-0.0725,-0.0334,0.0635
2021,50.0000,0.1064,0.0923,1.0958,1.6213,-0.0558,-0.0218,0.1055
2022,50.0000,-0.0143,0.1705,-0.0842,-0.1189,-0.1473,-0.0411,-0.0141
2023,50.0000,0.1218,0.1192,0.9647,1.5580,-0.1019,-0.0262,0.1208
2024,50.0000,0.1115,0.1033,1.0229,1.5744,-0.0517,-0.0204,0.1106
2025,50.0000,0.3423,0.1555,1.8926,2.6536,-0.1136,-0.0121,0.3391
Rusia-Ucrania (feb-dic 2022),43.0000,,,-0.0732,-0.1039,-0.1473,-0.0373,-0.0105
Crisis bancaria (mar-may 2023),11.0000,,,3.1904,7.4781,-0.0174,-0.0086,0.0497
