,n_decisiones,ret_anualizado,vol_anualizada,sharpe,sortino,calmar,mdd,var_95pct,cvar_95pct,hit_rate,ret_total
GLOBAL 2021–2025,250.0000,0.1775,0.1473,1.1092,1.6722,1.1969,-0.1483,-0.0279,-0.0447,0.5880,1.2492
Régimen Low (VIX <20),161.0000,0.1395,0.1265,1.0322,1.5920,0.9638,-0.1448,-0.0225,-0.0366,0.5901,0.5178
Régimen Moderate (VIX 20-30),76.0000,0.2044,0.1706,1.0899,1.5052,1.8016,-0.1135,-0.0305,-0.0596,0.5921,0.3237
Régimen Stress (VIX >30),13.0000,0.5489,0.2168,2.0185,4.1707,10.1173,-0.0543,-0.0296,-0.0310,0.5385,0.1195
2021,50.0000,0.0750,0.1299,0.5567,0.7466,0.7396,-0.1014,-0.0234,-0.0421,0.5800,0.0744
2022,50.0000,0.0122,0.1468,0.0826,0.1119,0.0822,-0.1483,-0.0321,-0.0421,0.5200,0.0121
2023,50.0000,0.1470,0.1363,1.0065,1.9365,2.2228,-0.0661,-0.0221,-0.0258,0.5000,0.1458
2024,50.0000,0.0991,0.1304,0.7244,1.0461,1.0099,-0.0981,-0.0285,-0.0420,0.5800,0.0983
2025,50.0000,0.6503,0.1775,2.8217,4.3187,6.1381,-0.1059,-0.0102,-0.0479,0.7600,0.6438
Rusia-Ucrania (feb-dic 2022),43.0000,-0.0378,0.1395,-0.2763,-0.3602,-0.2549,-0.1483,-0.0309,-0.0381,0.5116,-0.0324
Crisis bancaria (mar-may 2023),11.0000,0.4752,0.1447,2.6878,11.7528,16.9841,-0.0280,-0.0102,-0.0109,0.5455,0.0886
