,n_decisiones,ret_anualizado,vol_anualizada,sharpe,sortino,mdd,var_95pct,ret_total
GLOBAL 2021–2025,250.0000,0.0629,0.1400,0.4358,0.4056,-0.2625,-0.0301,0.3535
Régimen Low (VIX <20),161.0000,0.1321,0.1046,1.1863,1.2459,-0.1064,-0.0251,0.4865
Régimen Moderate (VIX 20-30),76.0000,-0.0899,0.1779,-0.5297,-0.4465,-0.2267,-0.0495,-0.1325
Régimen Stress (VIX >30),13.0000,0.2062,0.2292,0.8180,1.0156,-0.1054,-0.0388,0.0495
2021,50.0000,0.0777,0.1128,0.6633,0.6360,-0.0941,-0.0268,0.0771
2022,50.0000,-0.1677,0.1766,-1.0394,-0.9051,-0.2625,-0.0500,-0.1665
2023,50.0000,0.0466,0.1266,0.3596,0.4023,-0.1064,-0.0258,0.0462
2024,50.0000,0.1244,0.1061,1.1051,1.1979,-0.0442,-0.0223,0.1234
2025,50.0000,0.2853,0.1577,1.5920,1.2545,-0.1129,-0.0121,0.2828
Rusia-Ucrania (feb-dic 2022),43.0000,-0.1488,0.1727,-0.9324,-0.8127,-0.2495,-0.0488,-0.1284
Crisis bancaria (mar-may 2023),11.0000,0.2409,0.0664,3.2517,4.3145,-0.0116,-0.0089,0.0482
