,n_decisiones,ret_anualizado,vol_anualizada,sharpe,sortino,mdd,var_95pct,ret_total
GLOBAL 2021–2025 [ppo_augmented],250.0000,0.1828,0.1590,1.0555,1.0538,-0.1735,-0.0318,1.2995
Régimen Low (VIX <20) [ppo_augmented],161.0000,0.2204,0.1524,1.3071,1.2305,-0.1325,-0.0290,0.8897
Régimen Moderate (VIX 20-30) [ppo_augmented],76.0000,0.0300,0.1607,0.1840,0.1889,-0.1688,-0.0408,0.0456
Régimen Stress (VIX >30) [ppo_augmented],13.0000,0.8008,0.2045,2.8763,4.0866,-0.0334,-0.0243,0.1638
2021 [ppo_augmented],50.0000,-0.0249,0.1357,-0.1857,-0.1512,-0.0956,-0.0314,-0.0247
2022 [ppo_augmented],50.0000,0.0215,0.1470,0.1449,0.1369,-0.1735,-0.0344,0.0214
2023 [ppo_augmented],50.0000,0.0961,0.1332,0.6890,0.8472,-0.0958,-0.0256,0.0953
2024 [ppo_augmented],50.0000,0.2828,0.1489,1.6726,1.9519,-0.0660,-0.0275,0.2802
2025 [ppo_augmented],50.0000,0.6528,0.2072,2.4253,1.9518,-0.0896,-0.0449,0.6462
Rusia-Ucrania (feb-dic 2022) [ppo_augmented],43.0000,-0.0257,0.1495,-0.1742,-0.1644,-0.1735,-0.0361,-0.0220
Crisis bancaria (mar-may 2023) [ppo_augmented],11.0000,0.2342,0.1344,1.5655,3.3256,-0.0301,-0.0140,0.0470
GLOBAL [ppo_baseline],250.0000,0.0961,0.1416,0.6482,0.5923,-0.2522,-0.0316,0.5766
Régimen low [ppo_baseline],161.0000,0.1627,0.1078,1.3982,1.3772,-0.0804,-0.0251,0.6184
Régimen moderate [ppo_baseline],76.0000,0.0032,0.1851,0.0172,0.0149,-0.1909,-0.0432,0.0048
Régimen stress [ppo_baseline],13.0000,-0.1132,0.1968,-0.6103,-0.7948,-0.1174,-0.0294,-0.0305
2021 [ppo_baseline],50.0000,0.0414,0.1135,0.3573,0.3379,-0.0546,-0.0225,0.0410
2022 [ppo_baseline],50.0000,-0.1373,0.1833,-0.8059,-0.7115,-0.2516,-0.0433,-0.1363
2023 [ppo_baseline],50.0000,0.1221,0.1216,0.9479,1.0165,-0.0804,-0.0262,0.1211
2024 [ppo_baseline],50.0000,0.1876,0.1112,1.5466,1.5029,-0.0428,-0.0250,0.1860
2025 [ppo_baseline],50.0000,0.3217,0.1569,1.7778,1.4907,-0.1185,-0.0211,0.3188
Rusia-Ucrania (feb-dic 2022) [ppo_baseline],43.0000,-0.1295,0.1839,-0.7543,-0.6596,-0.2148,-0.0433,-0.1116
Crisis bancaria (mar-may 2023) [ppo_baseline],11.0000,0.2667,0.0700,3.3789,3.9240,-0.0122,-0.0100,0.0529
