,n_decisiones,ret_anualizado,vol_anualizada,sharpe,sortino,mdd,var_95pct,ret_total
GLOBAL 2021–2025,250.0000,0.0659,0.0903,0.7066,0.7139,-0.2010,-0.0198,0.3721
Régimen Low (VIX <20),161.0000,0.1126,0.0768,1.3900,1.4594,-0.0820,-0.0157,0.4063
Régimen Moderate (VIX 20-30),76.0000,-0.0426,0.1072,-0.4056,-0.3909,-0.1887,-0.0229,-0.0635
Régimen Stress (VIX >30),13.0000,0.1721,0.1205,1.3185,1.7526,-0.0300,-0.0171,0.0418
2021,50.0000,-0.0221,0.0654,-0.3423,-0.3465,-0.0552,-0.0162,-0.0220
2022,50.0000,-0.0844,0.1073,-0.8217,-0.7162,-0.1794,-0.0257,-0.0837
2023,50.0000,0.0657,0.0919,0.6928,0.7957,-0.0740,-0.0189,0.0652
2024,50.0000,0.0956,0.0794,1.1496,1.2270,-0.0518,-0.0151,0.0948
2025,50.0000,0.3158,0.0933,2.9415,2.7097,-0.0433,-0.0144,0.3130
Rusia-Ucrania (feb-dic 2022),43.0000,-0.0924,0.1111,-0.8728,-0.7661,-0.1707,-0.0279,-0.0794
Crisis bancaria (mar-may 2023),11.0000,0.1348,0.0674,1.8755,2.4051,-0.0227,-0.0110,0.0280
