,n_decisiones,ret_anualizado,vol_anualizada,sharpe,sortino,mdd,var_95pct,ret_total
GLOBAL 2021–2025,250.0000,0.1320,0.1210,1.0249,0.9634,-0.1750,-0.0266,0.8496
Régimen Low (VIX <20),161.0000,0.1760,0.0973,1.6668,1.7180,-0.0733,-0.0197,0.6785
Régimen Moderate (VIX 20-30),76.0000,0.0589,0.1544,0.3705,0.3227,-0.1566,-0.0344,0.0901
Régimen Stress (VIX >30),13.0000,0.0429,0.1547,0.2716,0.3034,-0.0632,-0.0270,0.0109
2021,50.0000,0.0597,0.0968,0.5992,0.6002,-0.0427,-0.0215,0.0592
2022,50.0000,-0.0609,0.1553,-0.4045,-0.3491,-0.1750,-0.0352,-0.0604
2023,50.0000,0.1112,0.0985,1.0703,1.3094,-0.0645,-0.0212,0.1103
2024,50.0000,0.2101,0.1023,1.8649,2.1064,-0.0361,-0.0169,0.2083
2025,50.0000,0.3890,0.1335,2.4620,1.6006,-0.0727,-0.0186,0.3853
Rusia-Ucrania (feb-dic 2022),43.0000,-0.0585,0.1590,-0.3792,-0.3297,-0.1729,-0.0361,-0.0501
Crisis bancaria (mar-may 2023),11.0000,0.2472,0.0691,3.1982,5.9974,-0.0154,-0.0071,0.0494
